жабу;поднял с пола большую зеленую
жабу;поморщился, словно проглотил 
жабу;найдет себе жену-красавицу, а не
жабу;держи
подруги;вздумала критиковать наряд старшей
подруги;как не был счастлив близ
подруги;говорит, что у
подруги;не найти такой другой
подруги;сын маминой 
шарю;открыл в прихожей ящик и
шарю;ребята, я в этом 
средневековье;для варварских племен, живших в раннем
средневековье;очевидный пример ― европейское
средневековье;действительно сползаем в новое
средневековье;страдающее
поворот;интересный
поворот;одну из самых знаменитых песен группы
поворот;головы чеканный 
поворот;вот это